artist,song,label,position,start_date,end_date
Capital Bra,Benzema,Universal Domestic Urban,1,28.12.2018,03.01.2019
Mariah Carey,All I Want For Christmas Is You,SME - Columbia,2,28.12.2018,03.01.2019
Wham!,Last Christmas,SME - Epic,3,28.12.2018,03.01.2019
Ava Max,Sweet But Psycho,Atlantic,4,28.12.2018,03.01.2019
Chris Rea,Driving Home For Christmas,Warner Music International,5,28.12.2018,03.01.2019
Azet & Zuna,Lelele,KMN Gang,6,28.12.2018,03.01.2019
Melanie Thornton,Wonderful Dream (Holidays Are Coming),X-Cell,7,28.12.2018,03.01.2019
Sido,Tausend Tattoos,Universal Domestic Urban,8,28.12.2018,03.01.2019
Shakin' Stevens,Merry Christmas Everyone,SME - Epic,9,28.12.2018,03.01.2019
John & Yoko / The Plastic Ono Band with The Harlem Community Choir,Happy Xmas (War Is Over),EMI,10,28.12.2018,03.01.2019
Mero,Baller los,Groove Attack,11,28.12.2018,03.01.2019
Pentatonix,Hallelujah,SME - RCA International,12,28.12.2018,03.01.2019
Paul McCartney,Wonderful Christmastime,Capitol,13,28.12.2018,03.01.2019
Ariana Grande,Santa Tell Me,Universal,14,28.12.2018,03.01.2019
Michael Bublé,It's Beginning To Look A Lot Like Christmas,Reprise,15,28.12.2018,03.01.2019
Queen,Thank God It's Christmas,Universal,16,28.12.2018,03.01.2019
Dynoro & Gigi D'Agostino,In My Mind,B1 Recordings,17,28.12.2018,03.01.2019
Panic! At The Disco,High Hopes,Atlantic,18,28.12.2018,03.01.2019
José Feliciano,Feliz Navidad,SME - RCA International,19,28.12.2018,03.01.2019
Bryan Adams,Christmas Time,Universal,20,28.12.2018,03.01.2019
Band Aid,Do They Know It's Christmas?,Mercury,21,28.12.2018,03.01.2019
"KitschKrieg feat. Trettmann, Gringo, Ufo361 & Gzuz",Standard,SoulForce Records,22,28.12.2018,03.01.2019
Kelly Clarkson,Underneath The Tree,SME - RCA International,23,28.12.2018,03.01.2019
Robin Schulz feat. Erika Sirola,Speechless,Warner Music Germany,24,28.12.2018,03.01.2019
Dean Lewis,Be Alright,Universal,25,28.12.2018,03.01.2019
Brenda Lee,Rockin' Around The Christmas Tree,Universal,26,28.12.2018,03.01.2019
Nimo & Capo,Zoey,Universal Domestic Urban,27,28.12.2018,03.01.2019
Halsey,Without Me,Capitol,28,28.12.2018,03.01.2019
Kontra K,Farben,BMG,29,28.12.2018,03.01.2019
Daryl Hall & John Oates,Jingle Bell Rock (Daryl's Version),Sony Music,30,28.12.2018,03.01.2019
Bonez MC & RAF Camora,500 PS,Universal Domestic Vertigo,31,28.12.2018,03.01.2019
Rita Ora,Let You Love Me,Atlantic,32,28.12.2018,03.01.2019
Britney Spears,My Only Wish (This Year),Sony Music,33,28.12.2018,03.01.2019
Capital Bra,Feuer,SME - Bushido,34,28.12.2018,03.01.2019
Michael Bublé & Shania Twain,White Christmas,Reprise,35,28.12.2018,03.01.2019
"DJ Snake feat. Selena Gomez, Ozuna & Cardi B",Taki Taki,Geffen Records,36,28.12.2018,03.01.2019
Lady Gaga & Bradley Cooper,Shallow,Interscope,37,28.12.2018,03.01.2019
Coldplay,Christmas Lights,Parlophone Label Group,38,28.12.2018,03.01.2019
Mark Forster,Einmal,SME - Four Music,39,28.12.2018,03.01.2019
Bobby Helms,Jingle Bell Rock,K-Tel,40,28.12.2018,03.01.2019
Sam Smith,Have Yourself A Merry Little Christmas,Capitol,41,28.12.2018,03.01.2019
Andy Williams,It's The Most Wonderful Time Of The Year,Sony Music,42,28.12.2018,03.01.2019
Ariana Grande,"Thank U, Next",Universal,43,28.12.2018,03.01.2019
Samra,Cataleya,SME - Bushido,44,28.12.2018,03.01.2019
Meghan Trainor,I'll Be Home,SME - Epic,45,28.12.2018,03.01.2019
Miley Cyrus & Mark Ronson feat. Sean Ono Lennon,Happy Xmas (War Is Over),SME - Columbia,46,28.12.2018,03.01.2019
Alle Farben & Ilira,Fading,B1 Recordings,47,28.12.2018,03.01.2019
Loredana,Milliondollar$mile,Loredana,48,28.12.2018,03.01.2019
Band Aid 30,Do They Know It's Christmas? (2014),EMI,49,28.12.2018,03.01.2019
Sia,Santa's Coming For Us,Atlantic,50,28.12.2018,03.01.2019
Marshmello & Bastille,Happier,Universal,51,28.12.2018,03.01.2019
Calvin Harris & Sam Smith,Promises,SME - Columbia,52,28.12.2018,03.01.2019
Gwen Stefani feat. Blake Shelton,You Make It Feel Like Christmas,Interscope,53,28.12.2018,03.01.2019
Rolf Zuckowski und seine Freunde,In der Weihnachtsbäckerei,Musik für Dich,54,28.12.2018,03.01.2019
Capital Bra feat. Xatar x SAMY,Ich liebe es,SME - Bushido,55,28.12.2018,03.01.2019
Mark Ronson feat. Miley Cyrus,Nothing Breaks Like A Heart,SME - Columbia,56,28.12.2018,03.01.2019
*N Sync,"Merry Christmas, Happy Holidays",Sony Music,57,28.12.2018,03.01.2019
